tieu_de,noi_dung,nhan
"Báo động: Ăn tỏi chữa bách bệnh, ung thư cũng khỏi!",Bài thuốc bí truyền từ tỏi đen giúp chữa mọi loại bệnh tật...,0
Bộ Y tế khuyến cáo tiêm vắc xin phòng cúm mùa,"Để phòng ngừa dịch bệnh mùa đông xuân, người dân nên chủ động...",1
CẤP BÁCH: Chuyển tiền ngay vào quỹ hỗ trợ người cao tuổi để nhận x3 tiền lãi!!!,Cơ hội duy nhất trong ngày! Bấm vào link và chuyển khoản ngay để...,0
Hà Nội: Dự báo thời tiết cuối tuần có mưa dông,Trung tâm Khí tượng Thủy văn cho biết cuối tuần này nhiệt độ giảm...,1
Phát hiện thuốc tiên chữa dứt điểm tiểu đường chỉ trong 1 đêm,"Không cần đến bệnh viện, chỉ cần uống loại lá này là hết bệnh...",0
Cách nhận biết các tin nhắn lừa đảo qua mạng xã hội,"Theo các chuyên gia an ninh mạng, tuyệt đối không bấm vào link lạ...",1
Bí mật động trời: Nước chanh nóng tiêu diệt virus 100%!,Chia sẻ ngay kẻo lỡ! Chanh nóng pha mật ong diệt sạch virus...,0
Khởi tố nhóm đối tượng lừa đảo chiếm đoạt tài sản qua mạng,Công an đã bắt giữ nhóm đối tượng chuyên gọi điện giả danh...,1
"MIỄN PHÍ: Nhận ngay 500k từ ngân hàng, bấm link để nhận!!!","Chương trình ưu đãi đặc biệt chỉ hôm nay, chuyển khoản xác nhận...",0
Hội thảo sức khỏe người cao tuổi tại Trung tâm Y tế Quận 1,Hội thảo miễn phí với sự tham gia của các bác sĩ đầu ngành...,1
"SĐT 0931207366 đã trúng 1 chiếc iPhone 17, vui lòng nhấn vào link bên dưới để nh","SĐT 0931207366 đã trúng 1 chiếc iPhone 17, vui lòng nhấn vào link bên dưới để nhập thông tin nhận thưởng
http://localhost:8501/",0
CHÚC MỪNG: Chủ thuê bao 0912xxxxxx đã may mắn trúng giải Nhất chương trình tri â,CHÚC MỪNG: Chủ thuê bao 0912xxxxxx đã may mắn trúng giải Nhất chương trình tri ân khách hàng: 1 chiếc xe máy Honda SH 125i. Vui lòng truy cập ngay website http://tri-an-vng.com để làm thủ tục nhận xe trước 24h ngày hôm nay.,0
Ông Nguyễn Anh Tuấn tái đắc cử Chủ tịch Tổng Liên đoàn Lao động Việt Nam,"Ông Nguyễn Anh Tuấn tái đắc cử Chủ tịch Tổng Liên đoàn Lao động Việt Nam nhiệm kỳ 2026-2031, tiếp tục lãnh đạo tổ chức công đoàn trong giai đoạn đổi mới bộ máy và nâng cao vai trò đại diện người lao động.",1
Loạt hồ điều hòa chống ngập ở Hà Nội sắp hoàn thành,"Nhiều dự án hồ điều hòa chống ngập tại Hà Nội đã đạt khoảng 90% khối lượng thi công, chuẩn bị đưa vào vận hành trong mùa mưa bão để hỗ trợ thoát nước và giảm ngập.",1
Sống khổ trong dinh thự trăm tuổi ở miền Tây,"Mỗi mùa mưa, bà Ngà đặt gần 50 xô chậu hứng nước dột trong tòa nhà gần 100 năm tuổi ở Tây Ninh, không thể tự sửa những chỗ hư hỏng vì công trình thuộc diện bảo tồn.",1
Cao tốc trục ngang miền Tây thiếu hơn 3 triệu m3 cát,"Cao tốc Châu Đốc - Cần Thơ - Sóc Trăng cần hơn 3,4 triệu m3 cát trước tháng 8 để gia tải nền đường, song nguồn cung thiếu, nguy cơ khó hoàn thành vào giữa năm tới.",1
Bài học tái chế phế thải xây dựng từ Nhật Bản và Singapore,"Thay vì coi phế thải xây dựng là rác đem đi đổ bỏ, Nhật Bản và Singapore xem đây là nguồn vật liệu thứ cấp quý giá có thể tái sử dụng cho ngành xây dựng.",1
Người dân vây bắt cá sấu bò trên quốc lộ,"Cá sấu dài khoảng một mét, chừng 20 kg bò giữa quốc lộ 1, đoạn qua phường Hố Nai, khiến nhiều người đi đường hoảng sợ, tối 4/6.",1
